index;noticia;link_noticia;web;usuario;id_usuario;fecha_envio;fecha_publicacion;meneos;clicks;comentarios;votos_positivos;votos_anonimos;votos_negativos;karma;sub;extracto
4144459;5 veces que la termodinámica casi rompe la realidad (y por qué no lo hizo);https://aulaquest.com/4-veces-que-la-termodinamica-casi-rompe-la-realidad-y-por-que-no-lo-hizo/;aulaquest.com;M.Rajoy.;79902;1770452296;1770508202;39;582;14;27;12;1;391;ciencia; Desde demonios que abren puertas moleculares hasta agujeros negros que se evaporan: un viaje matemático por los límites donde las reglas del universo parecen desmoronarse  
4144562;Nuria Alabao, antropóloga: “Las derechas radicales convierten el malestar de los jóvenes en reacción antifeminista”;https://elpais.com/sociedad/2026-02-07/nuria-alabao-antropologa-las-derechas-radicales-convierten-el-malestar-de-los-jovenes-en-reaccion-antifeminista.html;elpais.com;Murciegalo;459606;1770473386;1770505802;94;249;85;53;41;7;478;politica;" ""Simultáneamente, las jóvenes muestran mejores resultados académicos y mayor autonomía económica, y eso está alterando las narrativas tradicionales de masculinidad sin que existan modelos alternativos claros para ellos. También hay sociólogas que hablan de los problemas de relación entre hombres y mujeres después de esos cambios porque las expectativas de ellas son otras""  "
4144597;Serge Pelle [Eng];https://linesandcolors.com/2026/01/09/serge-pelle/;linesandcolors.com;Charles_Dexter_Ward;174333;1770484180;1770503703;54;835;10;33;21;0;404;Estampa; Serge Pellé es un artista de cómics francés conocido principalmente por su trabajo en la serie de ciencia ficción Orbital, junto con el escritor Sylvain Runberg. Las dramáticas escenas de estructuras futuristas de Pellé, a menudo en perspectiva profunda y con amplios detalles, se complementan con imaginativos diseños de naves espaciales, una iluminación intensa y criaturas de otro mundo.  
4144479;Singapur incorpora los C-130H españoles para renovar su flota aérea;https://www.defensa.com/espana/singapur-compra-antiguos-c-130h-hercules-ejercito-aire-espanol;defensa.com;Free_palestine;610549;1770456126;1770501603;78;542;8;42;36;0;409;Avionéame; Singapur incorpora C-130H Hercules ex españoles para renovar su flota táctica y reemplazar los veteranos KC-130B tras casi seis décadas de servicio  
4144593;La dictadura en casa;https://www.youtube.com/watch?si=KCk1mHOMrqsRUDSe&v=sZkrXcw1-Oo;youtube.com;Moixa;622651;1770482950;1770500102;117;2056;17;68;49;1;420;ocio; Video de Vaya semanita . La dictadura en casa .El texto es demasiado corto, debe ser al menos de 50 caracteres  
4144583;Andalucía será zona de lluvias tras la rotura del vórtice polar;https://www.diariodealmeria.es/almeria/andalucia-tierra-lluvias-vortice-polar-anticiclon_0_2005837502.html;diariodealmeria.es;Lord_Cromwell;754582;1770481204;1770499202;125;2344;75;59;66;1;411;actualidad; Durante estos días, Andalucía ha quedado bajo un pasillo de borrascas que llegan una detrás de otra desde el Atlántico. Los modelos de AEMET han detectado un bloqueo en el norte del planeta que está obligando a los frentes a bajar de latitud y cruzar el sur de España con lluvias continuadas. Ese cambio tiene que ver con el vórtice polar, una gran masa de aire frío que gira sobre el Ártico. Cuando se debilita, la corriente de aire que guía las borrascas deja de ir recta y empieza a hacer curvas.  
4144547;"El modelo europeo eleva el riesgo: el río atmosférico del martes será de gran magnitud; predicción para España";https://www.tiempo.com/noticias/prediccion/el-modelo-europeo-eleva-el-riesgo-el-rio-atmosferico-del-martes-sera-de-gran-magnitud-prediccion-para-espana.html;tiempo.com;duende;42092;1770470184;1770497702;127;3967;21;64;63;0;394;actualidad; El modelo europeo anticipa la llegada de un nuevo y un potente río atmosférico que podría afectar a España a comienzos de la semana que viene, dejando lluvias persistentes y acumulados importantes en varias comunidades.  
4144610;Colonos israelíes y militares aceleran la expulsión violenta de palestinos de sus tierras en Cisjordania (EN);https://www.dropsitenews.com/p/israel-west-bank-palestinian-displacement-settlers-bedouins-jordan-valley;dropsitenews.com;Tkachenko;796244;1770489872;1770495903;180;181;11;89;91;1;423;actualidad; Lo que una vez fue una invasión progresiva por parte de los colonos se ha intensificado en los últimos tres años hasta convertirse en una campaña de expulsión masiva respaldada por el Estado.  
4144598;En México, los cárteles enfrentan a la policía con munición hecha para el ejército de EE. UU;https://www.nytimes.com/es/2026/02/07/espanol/estados-unidos/mexico-carteles-municion-ejercito-eeuu.html;nytimes.com;concentrado;836167;1770485009;1770495902;196;404;30;98;98;0;409;actualidad; En ataques contra civiles y policías mexicanos, las organizaciones delictivas han utilizado munición calibre .50 producida en una planta del ejército estadounidense e introducida de contrabando por la frontera.  
4144607;Evolución mensual del volumen de nuevas preguntas en StackOverflow;https://data.stackexchange.com/stackoverflow/query/1926661;data.stackexchange.com;AdreimEdSatsinois;837113;1770489482;1770494702;119;3824;63;62;57;2;477;tecnología; 
4144436;Irán abandona el GPS de Estados Unidos y se pasa al BeiDou de China: un cambio que modifica el equilibrio del poder militar;https://computerhoy.20minutos.es/tecnologia/iran-abandona-gps-estados-unidos-se-pasa-beidou-china-un-cambio-que-modifica-equilibrio-poder-militar_6931201_0.html;computerhoy.20minutos.es;VFR;845049;1770445132;1770494103;239;765;49;120;119;0;383;actualidad; El movimiento refuerza también el eje Irán‑China, especialmente después del acuerdo estratégico de 2021, que ya preveía el acceso iraní a las señales de alta precisión de BeiDou.  
4144573;La imagen que resume una era: millones de libros en un almacén esperando a ser destruidos tras entrenar a una IA;https://www.xataka.com/empresas-y-economia/anthropic-tenia-plan-secreto-escanear-millones-libros-para-alimentar-su-ia-no-ha-acabado-siendo-secreto;xataka.com;luspagnolu;812511;1770476464;1770491703;204;3728;65;97;107;3;395;actualidad; Un modelo de lenguaje para IA necesita información si se quiere entrenar para que sea más preciso y efectivo. El tema es cómo se obtiene la información y si existe una manera ética de hacerlo que le salga rentable a la tecnológica de turno. No hay duda de que la opción preferida de las empresas ha sido utilizar todo contenido posible físico y digital sin permiso de nadie. También hay pruebas.  
4144462;Miguel Ángel Rodríguez trató de persuadir por carta a víctimas de las residencias de que la culpa era de Sánchez;https://www.elplural.com/autonomias/madrid/miguel-angel-rodriguez-trato-persuadir-carta-victimas-residencias-culpa-era-sanchez_380783102?Echobox=1770449585-3;elplural.com;Meinhard;838059;1770453399;1770490202;472;522;61;188;284;1;416;actualidad; El jefe de gabinete de Ayuso elevó por escrito la responsabilidad al Gobierno y le acusó de mentir y hacer negocio con material sanitario durante la pandemia.Mkguel Ángel Rodríguez negó errores graves en la actuación de la Comunidad de Madrid, sostuvo que esta fue pionera en proteger a los mayores y que la culpa de la mala gestión fue de Sánchez y de su Gobierno. Además, incluyó acusaciones de malas actuaciones y supuestas tramas de material sanitario relacionadas con el Ejecutivo central.  
